,data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada,count
0,2024-02-19,piedade,piedade,canino_m,sim,0.8
1,2024-02-19,piedade,piedade,canino_f,sim,0.6
2,2024-02-19,piedade,piedade,felino_f,sim,0.4
3,2024-02-19,piedade,piedade,felino_f,nao,0.2
4,2024-02-19,piedade,piedade,felino_m,sim,0.2
5,2024-02-20,piedade,piedade,canino_m,sim,1.8
6,2024-02-20,piedade,piedade,canino_f,sim,1.0
7,2024-02-20,piedade,piedade,felino_m,sim,0.6
8,2024-02-20,antares,santa cruz,felino_f,sim,0.6
9,2024-02-20,antares,antares,felino_m,nao,0.6
10,2024-02-20,piedade,quintino,canino_f,sim,0.6
11,2024-02-20,piedade,quintino,felino_m,sim,0.6
12,2024-02-20,antares,santa cruz,felino_m,nao,0.4
13,2024-02-20,antares,santa cruz,felino_m,sim,0.4
14,2024-02-20,antares,santa cruz,canino_m,nao,0.4
15,2024-02-20,piedade,cavalcanti,felino_f,sim,0.4
16,2024-02-20,antares,santa cruz,canino_f,nao,0.4
17,2024-02-20,piedade,piedade,felino_f,sim,0.2
18,2024-02-20,antares,antares,canino_f,sim,0.2
19,2024-02-20,antares,antares,felino_f,sim,0.2
20,2024-02-20,antares,antares,felino_m,sim,0.2
21,2024-02-20,antares,paciencia,felino_m,sim,0.2
22,2024-02-20,antares,santa cruz,canino_m,sim,0.2
23,2024-02-20,antares,antares,canino_f,nao,0.2
24,2024-02-20,antares,santa cruz,felino_f,nao,0.2
25,2024-02-21,piedade,piedade,canino_m,sim,2.8
26,2024-02-21,piedade,piedade,felino_m,sim,2.4
27,2024-02-21,antares,santa cruz,felino_m,sim,1.4
28,2024-02-21,piedade,piedade,felino_f,sim,1.0
29,2024-02-21,piedade,piedade,canino_f,sim,0.8
30,2024-02-21,antares,santa cruz,canino_f,nao,0.4
31,2024-02-21,antares,santa cruz,canino_m,sim,0.4
32,2024-02-21,antares,santa cruz,canino_m,nao,0.4
33,2024-02-21,antares,santa cruz,felino_f,sim,0.4
34,2024-02-21,piedade,quintino,canino_m,sim,0.4
35,2024-02-21,piedade,tomas coelho,felino_f,sim,0.4
36,2024-02-21,antares,santa cruz,felino_f,nao,0.2
37,2024-02-21,piedade,engenho de dentro,felino_f,sim,0.2
38,2024-02-21,piedade,pilares,felino_m,sim,0.2
39,2024-02-21,piedade,cavalcanti,felino_f,sim,0.2
40,2024-02-21,piedade,cavalcanti,canino_m,sim,0.2
41,2024-02-21,piedade,cavalcanti,felino_m,sim,0.2
42,2024-02-21,piedade,cascadura,felino_m,sim,0.2
43,2024-02-21,piedade,cachambi,canino_m,sim,0.2
44,2024-02-21,piedade,abolicao,canino_f,sim,0.2
45,2024-02-21,antares,santa cruz,canino_f,sim,0.2
46,2024-02-21,antares,antares,felino_f,sim,0.2
47,2024-02-21,antares,pantanal,felino_f,sim,0.2
48,2024-02-21,piedade,quintino,felino_m,sim,0.2
49,2024-02-21,antares,antares,canino_f,nao,0.2
50,2024-02-21,piedade,tomas coelho,canino_m,sim,0.2
51,2024-02-22,piedade,piedade,canino_f,sim,2.6
52,2024-02-22,piedade,piedade,canino_m,sim,2.0
53,2024-02-22,piedade,piedade,felino_m,sim,2.0
54,2024-02-22,piedade,piedade,felino_f,sim,1.8
55,2024-02-22,antares,santa cruz,felino_m,nao,1.0
56,2024-02-22,antares,santa cruz,canino_f,sim,0.8
57,2024-02-22,piedade,tomas coelho,felino_m,sim,0.8
58,2024-02-22,piedade,tomas coelho,felino_f,sim,0.6
59,2024-02-22,antares,santa cruz,canino_m,nao,0.4
60,2024-02-22,antares,santa cruz,canino_f,nao,0.4
61,2024-02-22,piedade,cavalcanti,canino_f,sim,0.4
62,2024-02-22,antares,santa cruz,felino_f,sim,0.4
63,2024-02-22,piedade,cavalcanti,felino_m,sim,0.4
64,2024-02-22,piedade,marechal hermes,canino_m,sim,0.2
65,2024-02-22,piedade,pilares,canino_m,sim,0.2
66,2024-02-22,piedade,quintino,canino_f,sim,0.2
67,2024-02-22,piedade,quintino,canino_m,sim,0.2
68,2024-02-22,piedade,tomas coelho,canino_m,sim,0.2
69,2024-02-22,antares,antares,felino_m,sim,0.2
70,2024-02-22,antares,piedade,canino_f,sim,0.2
71,2024-02-22,antares,santa cruz,canino_m,sim,0.2
72,2024-02-22,antares,antares,felino_m,nao,0.2
73,2024-02-22,piedade,cascadura,canino_f,sim,0.2
74,2024-02-22,piedade,cascadura,canino_m,sim,0.2
75,2024-02-22,piedade,cascadura,felino_m,sim,0.2
76,2024-02-22,piedade,cavalcanti,canino_m,sim,0.2
77,2024-02-22,piedade,engenho de dentro,felino_f,sim,0.2
78,2024-02-22,piedade,bento ribeiro,canino_f,sim,0.2
79,2024-02-22,antares,santa cruz,felino_f,nao,0.2
80,2024-02-22,antares,santa cruz,felino_m,sim,0.2
81,2024-02-22,piedade,antares,canino_f,nao,0.2
82,2024-02-23,piedade,piedade,felino_f,sim,1.8
83,2024-02-23,piedade,piedade,canino_f,sim,1.8
84,2024-02-23,piedade,piedade,felino_m,sim,1.0
85,2024-02-23,antares,santa cruz,canino_f,sim,0.8
86,2024-02-23,antares,santa cruz,felino_f,sim,0.8
87,2024-02-23,piedade,pilares,felino_m,sim,0.6
88,2024-02-23,antares,santa cruz,felino_m,nao,0.6
