data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada
2024-02-19,piedade,piedade,canino_m,sim
2024-02-19,piedade,piedade,felino_f,nao
2024-02-19,piedade,piedade,canino_f,sim
2024-02-19,piedade,piedade,felino_f,sim
2024-02-19,piedade,piedade,felino_m,sim
2024-02-19,piedade,piedade,felino_f,sim
2024-02-19,piedade,piedade,canino_m,sim
2024-02-19,piedade,piedade,canino_m,sim
2024-02-19,piedade,piedade,canino_f,sim
2024-02-19,piedade,piedade,canino_f,sim
2024-02-19,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,quintino,canino_f,sim
2024-02-20,piedade,quintino,felino_m,sim
2024-02-20,piedade,quintino,felino_m,sim
2024-02-20,piedade,cavalcanti,felino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,felino_m,sim
2024-02-20,piedade,piedade,felino_m,sim
2024-02-20,piedade,piedade,felino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,quintino,canino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,felino_m,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,quintino,canino_f,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,quintino,felino_m,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,cavalcanti,felino_f,sim
2024-02-20,antares,antares,canino_f,sim
2024-02-20,antares,santa cruz,canino_m,sim
2024-02-20,antares,santa cruz,felino_f,sim
2024-02-20,antares,santa cruz,felino_m,sim
