data,LOCAL,BAIRRO,espec_gener,ESPECIE,GENERO,cirurgia_realizada,count,eficacia
2024-02-19,piedade,piedade,canino_m,canino,macho,sim,4,80.0
2024-02-19,piedade,piedade,canino_f,canino,femea,sim,3,60.0
2024-02-19,piedade,piedade,felino_f,felino,femea,sim,2,40.0
2024-02-19,piedade,piedade,felino_f,felino,femea,nao,1,20.0
2024-02-19,piedade,piedade,felino_m,felino,macho,sim,1,20.0
2024-02-20,piedade,piedade,canino_m,canino,macho,sim,9,180.0
2024-02-20,piedade,piedade,canino_f,canino,femea,sim,5,100.0
2024-02-20,antares,antares,felino_m,felino,macho,nao,3,60.0
2024-02-20,antares,santa cruz,felino_f,felino,femea,sim,3,60.0
2024-02-20,piedade,piedade,felino_m,felino,macho,sim,3,60.0
2024-02-20,piedade,quintino,canino_f,canino,femea,sim,3,60.0
2024-02-20,piedade,quintino,felino_m,felino,macho,sim,3,60.0
2024-02-20,antares,santa cruz,canino_f,canino,femea,nao,2,40.0
2024-02-20,antares,santa cruz,canino_m,canino,macho,nao,2,40.0
2024-02-20,antares,santa cruz,felino_m,felino,macho,nao,2,40.0
2024-02-20,antares,santa cruz,felino_m,felino,macho,sim,2,40.0
2024-02-20,piedade,cavalcanti,felino_f,felino,femea,sim,2,40.0
2024-02-20,antares,antares,canino_f,canino,femea,nao,1,20.0
2024-02-20,antares,antares,canino_f,canino,femea,sim,1,20.0
2024-02-20,antares,antares,felino_f,felino,femea,sim,1,20.0
2024-02-20,antares,antares,felino_m,felino,macho,sim,1,20.0
2024-02-20,antares,paciencia,felino_m,felino,macho,sim,1,20.0
2024-02-20,antares,santa cruz,canino_m,canino,macho,sim,1,20.0
2024-02-20,antares,santa cruz,felino_f,felino,femea,nao,1,20.0
2024-02-20,piedade,piedade,felino_f,felino,femea,sim,1,20.0
2024-02-21,piedade,piedade,canino_m,canino,macho,sim,14,280.0
2024-02-21,piedade,piedade,felino_m,felino,macho,sim,12,240.0
2024-02-21,antares,santa cruz,felino_m,felino,macho,sim,7,140.0
2024-02-21,piedade,piedade,felino_f,felino,femea,sim,5,100.0
2024-02-21,piedade,piedade,canino_f,canino,femea,sim,4,80.0
2024-02-21,antares,santa cruz,canino_f,canino,femea,nao,2,40.0
2024-02-21,antares,santa cruz,canino_m,canino,macho,nao,2,40.0
2024-02-21,antares,santa cruz,canino_m,canino,macho,sim,2,40.0
2024-02-21,antares,santa cruz,felino_f,felino,femea,sim,2,40.0
2024-02-21,piedade,quintino,canino_m,canino,macho,sim,2,40.0
2024-02-21,piedade,tomas coelho,felino_f,felino,femea,sim,2,40.0
2024-02-21,antares,antares,canino_f,canino,femea,nao,1,20.0
2024-02-21,antares,antares,felino_f,felino,femea,sim,1,20.0
2024-02-21,antares,pantanal,felino_f,felino,femea,sim,1,20.0
2024-02-21,antares,santa cruz,canino_f,canino,femea,sim,1,20.0
2024-02-21,antares,santa cruz,felino_f,felino,femea,nao,1,20.0
2024-02-21,piedade,abolicao,canino_f,canino,femea,sim,1,20.0
2024-02-21,piedade,cachambi,canino_m,canino,macho,sim,1,20.0
2024-02-21,piedade,cascadura,felino_m,felino,macho,sim,1,20.0
2024-02-21,piedade,cavalcanti,canino_m,canino,macho,sim,1,20.0
2024-02-21,piedade,cavalcanti,felino_f,felino,femea,sim,1,20.0
2024-02-21,piedade,cavalcanti,felino_m,felino,macho,sim,1,20.0
2024-02-21,piedade,engenho de dentro,felino_f,felino,femea,sim,1,20.0
2024-02-21,piedade,pilares,felino_m,felino,macho,sim,1,20.0
2024-02-21,piedade,quintino,felino_m,felino,macho,sim,1,20.0
2024-02-21,piedade,tomas coelho,canino_m,canino,macho,sim,1,20.0
2024-02-22,piedade,piedade,canino_f,canino,femea,sim,13,260.0
2024-02-22,piedade,piedade,canino_m,canino,macho,sim,10,200.0
2024-02-22,piedade,piedade,felino_m,felino,macho,sim,10,200.0
2024-02-22,piedade,piedade,felino_f,felino,femea,sim,9,180.0
2024-02-22,antares,santa cruz,felino_m,felino,macho,nao,5,100.0
2024-02-22,antares,santa cruz,canino_f,canino,femea,sim,4,80.0
2024-02-22,piedade,tomas coelho,felino_m,felino,macho,sim,4,80.0
2024-02-22,piedade,tomas coelho,felino_f,felino,femea,sim,3,60.0
2024-02-22,antares,santa cruz,canino_f,canino,femea,nao,2,40.0
2024-02-22,antares,santa cruz,canino_m,canino,macho,nao,2,40.0
2024-02-22,antares,santa cruz,felino_f,felino,femea,sim,2,40.0
2024-02-22,piedade,cavalcanti,canino_f,canino,femea,sim,2,40.0
2024-02-22,piedade,cavalcanti,felino_m,felino,macho,sim,2,40.0
2024-02-22,antares,antares,felino_m,felino,macho,nao,1,20.0
2024-02-22,antares,antares,felino_m,felino,macho,sim,1,20.0
2024-02-22,antares,piedade,canino_f,canino,femea,sim,1,20.0
2024-02-22,antares,santa cruz,canino_m,canino,macho,sim,1,20.0
2024-02-22,antares,santa cruz,felino_f,felino,femea,nao,1,20.0
2024-02-22,antares,santa cruz,felino_m,felino,macho,sim,1,20.0
2024-02-22,piedade,antares,canino_f,canino,femea,nao,1,20.0
2024-02-22,piedade,bento ribeiro,canino_f,canino,femea,sim,1,20.0
2024-02-22,piedade,cascadura,canino_f,canino,femea,sim,1,20.0
2024-02-22,piedade,cascadura,canino_m,canino,macho,sim,1,20.0
2024-02-22,piedade,cascadura,felino_m,felino,macho,sim,1,20.0
2024-02-22,piedade,cavalcanti,canino_m,canino,macho,sim,1,20.0
2024-02-22,piedade,engenho de dentro,felino_f,felino,femea,sim,1,20.0
2024-02-22,piedade,marechal hermes,canino_m,canino,macho,sim,1,20.0
2024-02-22,piedade,pilares,canino_m,canino,macho,sim,1,20.0
2024-02-22,piedade,quintino,canino_f,canino,femea,sim,1,20.0
2024-02-22,piedade,quintino,canino_m,canino,macho,sim,1,20.0
2024-02-22,piedade,tomas coelho,canino_m,canino,macho,sim,1,20.0
2024-02-23,piedade,piedade,canino_f,canino,femea,sim,9,180.0
2024-02-23,piedade,piedade,felino_f,felino,femea,sim,9,180.0
2024-02-23,piedade,piedade,felino_m,felino,macho,sim,5,100.0
2024-02-23,antares,santa cruz,canino_f,canino,femea,sim,4,80.0
2024-02-23,antares,santa cruz,felino_f,felino,femea,sim,4,80.0
2024-02-23,antares,santa cruz,felino_m,felino,macho,nao,3,60.0
2024-02-23,piedade,pilares,felino_m,felino,macho,sim,3,60.0
2024-02-23,antares,santa cruz,canino_f,canino,femea,nao,2,40.0
2024-02-23,antares,santa cruz,felino_m,felino,macho,sim,2,40.0
2024-02-23,piedade,cascadura,felino_m,felino,macho,sim,2,40.0
2024-02-23,piedade,piedade,canino_m,canino,macho,sim,2,40.0
2024-02-23,antares,santa cruz,canino_m,canino,macho,nao,1,20.0
2024-02-23,antares,santa cruz,felino_f,felino,femea,nao,1,20.0
2024-02-23,piedade,abolicao,felino_m,felino,macho,sim,1,20.0
2024-02-23,piedade,cascadura,canino_m,canino,macho,sim,1,20.0
2024-02-23,piedade,cosmos,felino_m,felino,macho,sim,1,20.0
2024-02-23,piedade,guadalupe,felino_m,felino,macho,sim,1,20.0
